,date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
0,#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2939,2006-01-15,Maize - Wholesale,MT,cereals and tubers,345.419,UGX,Uganda,Kampala,42182,Owino,258.0,51,14.0,18.0,1,258_51_14_18,
904,2006-01-15,Maize - Wholesale,MT,cereals and tubers,298.399,UGX,Uganda,Busia,3110,Busia,2665.0,51,14.0,18.0,1,2665_51_14_18,
4911,2006-01-15,Maize - Wholesale,MT,cereals and tubers,247.761,UGX,Uganda,Lira,47082,Lira,263.0,51,14.0,18.0,1,263_51_14_18,
3202,2006-01-15,Rice - Wholesale,MT,cereals and tubers,1013.399,UGX,Uganda,Kampala,42182,Owino,258.0,52,14.0,18.0,1,258_52_14_18,
905,2006-02-15,Maize - Wholesale,MT,cereals and tubers,296.588,UGX,Uganda,Busia,3110,Busia,2665.0,51,14.0,18.0,1,2665_51_14_18,
3203,2006-02-15,Rice - Wholesale,MT,cereals and tubers,1028.6421,UGX,Uganda,Kampala,42182,Owino,258.0,52,14.0,18.0,1,258_52_14_18,
2940,2006-02-15,Maize - Wholesale,MT,cereals and tubers,347.225,UGX,Uganda,Kampala,42182,Owino,258.0,51,14.0,18.0,1,258_51_14_18,
4912,2006-02-15,Maize - Wholesale,MT,cereals and tubers,253.185,UGX,Uganda,Lira,47082,Lira,263.0,51,14.0,18.0,1,263_51_14_18,
2941,2006-03-15,Maize - Wholesale,MT,cereals and tubers,394.363,UGX,Uganda,Kampala,42182,Owino,258.0,51,14.0,18.0,1,258_51_14_18,
906,2006-03-15,Maize - Wholesale,MT,cereals and tubers,296.677,UGX,Uganda,Busia,3110,Busia,2665.0,51,14.0,18.0,1,2665_51_14_18,
4913,2006-03-15,Maize - Wholesale,MT,cereals and tubers,282.205,UGX,Uganda,Lira,47082,Lira,263.0,51,14.0,18.0,1,263_51_14_18,
3204,2006-03-15,Rice - Wholesale,MT,cereals and tubers,1133.9091,UGX,Uganda,Kampala,42182,Owino,258.0,52,14.0,18.0,1,258_52_14_18,
907,2006-04-15,Maize - Wholesale,MT,cereals and tubers,291.77,UGX,Uganda,Busia,3110,Busia,2665.0,51,14.0,18.0,1,2665_51_14_18,
